"sample_name","phenotype_label","mean_density_mm2","measured_count","frame_count","stddev_density_mm2","stderr_density_mm2","region_label"
"MEL2","CD8+ PD1-",205.818003187952,2,2,195.083660262324,137.944979070182,"Tumor"
"MEL2","CD8+ PD1+",110.269850452895,2,2,26.3627338753905,18.641267893905,"Tumor"
"MEL2","OTHER PDL1-",748.655623633217,2,2,69.0877404238883,48.8524097505874,"Tumor"
"MEL2","OTHER PDL1+",447.34078525318,2,2,207.250417725312,146.548175777313,"Tumor"
"MEL2","SOX10+ PDL1-",5220.18721085224,2,2,1090.5148988084,771.110479932379,"Tumor"
"MEL2","SOX10+ PDL1+",430.099507902411,2,2,51.5282401311457,36.4359680193419,"Tumor"
"MEL3","CD8+ PD1-",18.1849377673917,2,2,2.99334125744047,2.11661190154163,"Tumor"
"MEL3","CD8+ PD1+",58.4854378339895,2,2,19.547300252364,13.8220285623361,"Tumor"
"MEL3","OTHER PDL1-",220.508778979539,2,2,107.330106578155,75.8938461868881,"Tumor"
"MEL3","OTHER PDL1+",32.2879513673347,2,2,5.46704109433248,3.86578183082802,"Tumor"
"MEL3","SOX10+ PDL1-",5111.56854892542,2,2,1797.80296386645,1271.23866698724,"Tumor"
"MEL3","SOX10+ PDL1+",2744.73207103272,2,2,1464.19411672335,1035.34158890853,"Tumor"
"MEL2","CD8+ PD1-",511.83222132952,2,2,580.146487368649,410.225515299928,"Margin"
"MEL2","CD8+ PD1+",688.130674709813,2,2,901.316942012014,637.327321695017,"Margin"
"MEL2","OTHER PDL1-",3481.18787177139,2,2,1255.6809114617,887.900487501074,"Margin"
"MEL2","OTHER PDL1+",826.890222705113,2,2,379.084668220199,268.053339542355,"Margin"
"MEL2","SOX10+ PDL1-",1782.30211011871,2,2,5.91813671171748,4.18475460084448,"Margin"
"MEL2","SOX10+ PDL1+",425.389308520509,2,2,457.897747703111,323.782602490917,"Margin"
"MEL3","CD8+ PD1-",118.610183226235,2,2,20.9121627618724,14.7871320981968,"Margin"
"MEL3","CD8+ PD1+",249.836397702037,2,2,13.7478954759092,9.72123011805927,"Margin"
"MEL3","OTHER PDL1-",2220.4007156877,2,2,310.33641828888,219.440985821212,"Margin"
"MEL3","OTHER PDL1+",797.802217255747,2,2,486.844921180098,344.251345152678,"Margin"
"MEL3","SOX10+ PDL1-",2654.50912755465,2,2,1037.72542027475,733.782681685933,"Margin"
"MEL3","SOX10+ PDL1+",3407.53937467359,2,2,1347.78621568983,953.028772704034,"Margin"
