"sample_name","phenotype_label","neighbor_phenotype_label","mean_distance_um","stderr_distance_um","region_label"
"MEL3","OTHER PDL1+","SOX10+ PDL1+",18.5613143907651,1.6885824685371,"Any"
"MEL3","SOX10+ PDL1-","CD8+ PD1-",136.941004562876,1.47942604779729,"Any"
"MEL3","SOX10+ PDL1-","CD8+ PD1+",112.010283269133,1.2864012008308,"Any"
"MEL3","SOX10+ PDL1-","OTHER PDL1-",51.7941058174252,0.686325448290038,"Any"
"MEL3","SOX10+ PDL1-","OTHER PDL1+",122.510792867202,1.38712767850585,"Any"
"MEL3","SOX10+ PDL1-","SOX10+ PDL1-",0,0,"Any"
"MEL3","SOX10+ PDL1-","SOX10+ PDL1+",20.9076241754504,0.278367590646299,"Any"
"MEL3","SOX10+ PDL1+","CD8+ PD1-",95.5157942804469,1.57935230967228,"Any"
"MEL3","SOX10+ PDL1+","CD8+ PD1+",62.9901370234764,1.30281839480626,"Any"
"MEL3","SOX10+ PDL1+","OTHER PDL1-",48.2462009379565,0.819501300738839,"Any"
"MEL3","SOX10+ PDL1+","OTHER PDL1+",71.8462558935683,1.50091219558649,"Any"
"MEL3","SOX10+ PDL1+","SOX10+ PDL1-",15.2010058967212,0.243444960594876,"Any"
"MEL3","SOX10+ PDL1+","SOX10+ PDL1+",0,0,"Any"
