"sample_name","phenotype_label","mean_density_mm2","measured_count","frame_count","stddev_density_mm2","stderr_density_mm2","region_label"
"MEL2","CD8+ PD1-",230.71222441894,2,2,230.676126959834,163.112653631148,"Any"
"MEL2","CD8+ PD1+",118.199865539368,2,2,51.6429085521931,36.5170508374525,"Any"
"MEL2","OTHER PDL1-",1960.18586714123,2,2,772.48329770882,546.228178163253,"Any"
"MEL2","OTHER PDL1+",437.790119050699,2,2,181.523200897144,128.356286297058,"Any"
"MEL2","SOX10+ PDL1-",3440.04568734681,2,2,683.837406164505,483.546067127941,"Any"
"MEL2","SOX10+ PDL1+",304.0264064136,2,2,52.026224732921,36.7880963081837,"Any"
"MEL3","CD8+ PD1-",149.837676509581,2,2,8.87663269738987,6.27672717442661,"Any"
"MEL3","CD8+ PD1+",94.6997324476604,2,2,2.55598378374626,1.80735346608983,"Any"
"MEL3","OTHER PDL1-",1343.68158326348,2,2,130.005697207161,91.9279100880687,"Any"
"MEL3","OTHER PDL1+",155.538087044419,2,2,24.9000282957511,17.6069788596625,"Any"
"MEL3","SOX10+ PDL1-",3835.81940391716,2,2,1414.51640811098,1000.21414427491,"Any"
"MEL3","SOX10+ PDL1+",2203.56536348017,2,2,1030.32102287763,728.546982075834,"Any"
